iter	Passed	Remaining
426	2825	483
427	2831	476
428	2837	469
429	2845	463
430	2851	456
431	2857	449
432	2864	443
433	2871	436
434	2878	430
435	2884	423
436	2891	416
437	2897	410
438	2904	403
439	2910	396
440	2917	390
441	2923	383
442	2929	376
443	2935	370
444	2941	363
445	2948	356
446	2953	350
447	2960	343
448	2966	336
449	2973	330
450	2979	323
451	2986	317
452	2992	310
453	2998	303
454	3004	297
455	3011	290
456	3017	283
457	3023	277
458	3030	270
459	3036	264
460	3042	257
461	3049	250
462	3055	244
463	3061	237
464	3067	230
465	3074	224
466	3080	217
467	3086	211
468	3093	204
469	3099	197
470	3105	191
471	3111	184
472	3117	177
473	3123	171
474	3129	164
475	3135	158
476	3142	151
477	3148	144
478	3154	138
479	3161	131
480	3167	125
481	3174	118
482	3180	111
483	3187	105
484	3193	98
485	3199	92
486	3205	85
487	3212	78
488	3217	72
489	3224	65
490	3230	59
491	3236	52
492	3242	46
493	3249	39
494	3255	32
495	3261	26
496	3267	19
497	3274	13
498	3279	6
499	3286	0
