iter	MultiClass
160	0.7350515223
161	0.732295305
162	0.730344035
163	0.7274523472
164	0.7245211224
165	0.7219160204
166	0.7191536699
167	0.7165826451
168	0.7131998725
169	0.7098854356
170	0.7069062243
171	0.7050519118
172	0.7026684496
173	0.6996982355
174	0.6973704279
175	0.6945756301
176	0.6921253578
177	0.689490558
178	0.686270772
179	0.6829741786
180	0.6805390359
181	0.6780073182
182	0.6753004715
183	0.6725363365
184	0.6701770818
185	0.6678743444
186	0.6648943619
187	0.6623103282
188	0.6593936424
189	0.6566621963
190	0.6540411164
191	0.6516529774
192	0.6487676864
193	0.6460393764
194	0.6433775701
195	0.6411711443
196	0.6386882548
197	0.6362407786
198	0.6340693122
199	0.6317586214
200	0.6296173099
201	0.6272776691
202	0.6251061129
203	0.6228995655
204	0.6199935198
205	0.6179963079
206	0.6159587202
207	0.61426531
208	0.6115898937
209	0.6095560474
210	0.6074727379
211	0.6051214765
212	0.6030733672
213	0.6012884603
214	0.5993182101
215	0.5969361171
216	0.5944882388
217	0.5925967859
218	0.5908307002
219	0.5889394623
220	0.587010116
221	0.5850707355
222	0.5833806718
223	0.580874557
224	0.5785379471
225	0.5766877074
226	0.5744481571
227	0.5730443331
228	0.5712737037
229	0.5695961328
230	0.5680334352
231	0.5665251628
232	0.5643304519
233	0.5628832715
234	0.5611403912
235	0.5594053646
236	0.5576153778
237	0.5556286416
238	0.5532320447
239	0.5514122603
240	0.5500742554
241	0.5481993601
242	0.5469022617
243	0.5451650714
244	0.543832272
245	0.5416939146
246	0.5396322774
247	0.5382629523
248	0.5365258898
249	0.5349367787
250	0.5330535305
251	0.5313958528
252	0.5300063327
253	0.5283535481
254	0.5267811753
255	0.5251561087
256	0.5234412829
257	0.5210979116
258	0.5191386894
259	0.5175324237
260	0.5154644463
261	0.5139022128
262	0.5119414958
263	0.5103846699
264	0.5086893621
265	0.5069780257
266	0.5049922005
267	0.5030711035
268	0.5015229947
269	0.5002004729
270	0.499247069
271	0.4976193948
272	0.4961297341
273	0.4948115374
274	0.4936406925
275	0.4921814826
276	0.4907633943
277	0.4893305128
278	0.4879238314
279	0.4862443275
280	0.4849874037
281	0.4837187982
282	0.4824515945
283	0.4809013351
284	0.4798224865
285	0.4782859948
286	0.4767945309
287	0.4753442056
288	0.4740884782
289	0.4727376017
290	0.471533274
291	0.4700845528
292	0.4688532622
293	0.4673845194
294	0.466194334
295	0.4650703926
296	0.463632451
297	0.4622636917
298	0.461091912
299	0.4596341069
300	0.4581287671
301	0.4569104816
302	0.4556478751
303	0.4541646431
304	0.4530713021
305	0.4517694765
306	0.4504336883
307	0.448833905
308	0.4476026321
309	0.4464572724
310	0.4452332889
311	0.4440110394
312	0.4429100135
313	0.4413734666
314	0.4401952253
315	0.4388449402
316	0.4376705993
317	0.436488215
318	0.4351481069
319	0.4339490877
320	0.4325669529
321	0.4311715955
322	0.4300080109
323	0.4287900418
324	0.4275994021
325	0.4264779143
326	0.4253508019
327	0.4243458084
328	0.4233628613
329	0.4225315629
330	0.4212120069
331	0.420007239
332	0.4188746026
333	0.417944726
334	0.4171447256
335	0.4159863315
336	0.4147216764
337	0.4138035191
338	0.4127679499
339	0.4117979267
340	0.410468739
341	0.4095149486
342	0.408648801
343	0.4073518964
344	0.4066655469
345	0.4057129733
346	0.4048617323
347	0.4040832442
348	0.403054015
349	0.4019251142
350	0.4010610242
351	0.4001172418
352	0.3994090296
353	0.3983185714
354	0.3971289065
355	0.3962708686
356	0.3952115077
357	0.3941517536
358	0.3930637735
359	0.3918962356
360	0.3908824833
361	0.3899071036
362	0.3891887233
363	0.3882723404
364	0.3871584912
365	0.3859958777
366	0.3850940489
367	0.3842211122
368	0.3832178841
369	0.382132264
370	0.3812460069
371	0.380483404
372	0.3797792621
373	0.3789162536
374	0.3780667558
375	0.3771669741
376	0.3763837614
377	0.3754606996
378	0.3747379784
379	0.3740187348
380	0.3730617576
381	0.3721134364
382	0.3714769482
383	0.3706460018
384	0.3699237972
385	0.3693389945
386	0.3681650189
387	0.3674131529
388	0.3663282679
389	0.3654882279
390	0.3647865206
391	0.3640293234
392	0.3633329723
393	0.3624004238
394	0.3614739876
395	0.3605259462
396	0.3595802901
397	0.3586729241
398	0.3578986432
399	0.3570797641
400	0.3563215911
401	0.3554878142
402	0.3548509706
403	0.3541937801
404	0.353351737
405	0.3527426472
406	0.3517199885
407	0.3509560492
408	0.3502190132
409	0.3494271452
410	0.3486743207
411	0.3479144397
412	0.3472348957
413	0.3465347237
414	0.3459034815
415	0.3449223034
416	0.3443085786
417	0.3436890684
418	0.3430072462
419	0.3424231294
420	0.3416581673
421	0.3409904262
422	0.3401286628
423	0.3393188326
424	0.3384242607
425	0.3376337034
426	0.3368515867
427	0.3360714552
428	0.335331678
429	0.3347737284
430	0.3340790629
431	0.3332736171
432	0.3325811632
433	0.3318164466
434	0.331177652
435	0.3302604005
436	0.3293858577
437	0.3286402666
438	0.3279278268
439	0.3271542799
440	0.3263485397
441	0.3256505213
442	0.3250664793
443	0.3244070351
444	0.3237126022
445	0.3232308826
446	0.3226475906
447	0.3219820942
448	0.3212312681
449	0.3207067122
450	0.3201003246
451	0.3193364478
452	0.318764178
453	0.318017822
454	0.317284323
455	0.3166461638
456	0.3159944303
457	0.3155552555
458	0.314911086
459	0.3142962118
460	0.313786772
461	0.3131920501
462	0.3125887321
463	0.3118703008
464	0.3112502123
465	0.3105722207
466	0.3098927092
467	0.3092359669
468	0.3085070899
469	0.3078873036
470	0.3071018525
471	0.3066415693
472	0.306051448
473	0.3053371226
474	0.3046886861
475	0.3041600939
476	0.3034385313
477	0.3028299676
478	0.3022400148
479	0.3016310611
480	0.3011522072
481	0.3004452204
482	0.2997450393
483	0.2989719268
484	0.2984126277
485	0.2979540274
486	0.2973948417
487	0.2966857011
488	0.2961137692
489	0.2957365332
490	0.2951638832
491	0.2946700768
492	0.2940624371
493	0.2932838708
494	0.2927194336
495	0.292199329
496	0.2917563409
497	0.2912825026
498	0.2907039256
499	0.2902264504
