iter	MultiClass
0	2.26846853
1	2.219800481
2	2.18619108
3	2.136146377
4	2.08980804
5	2.066041988
6	2.040317007
7	2.008333861
8	1.977772828
9	1.945698926
10	1.921384062
11	1.899870632
12	1.871174552
13	1.840587203
14	1.817346795
15	1.795719315
16	1.779485278
17	1.762604815
18	1.746528359
19	1.723455957
20	1.703606894
21	1.68428612
22	1.67053325
23	1.647094167
24	1.625279909
25	1.60986201
26	1.596588451
27	1.581122282
28	1.56634527
29	1.551481892
30	1.537655972
31	1.52403406
32	1.512853528
33	1.499025964
34	1.482502541
35	1.466646566
36	1.456935979
37	1.442041828
38	1.430522216
39	1.417668841
40	1.401813702
41	1.387390139
42	1.376111478
43	1.366026363
44	1.352766111
45	1.344718934
46	1.334901077
47	1.323042031
48	1.311832122
49	1.303904251
50	1.296223947
51	1.288572882
52	1.27898246
53	1.271321134
54	1.257933356
55	1.249915219
56	1.241495714
57	1.231262413
58	1.22462565
59	1.219389349
60	1.213112289
61	1.206607336
62	1.199899135
63	1.189332364
64	1.180039608
65	1.170204742
66	1.163003007
67	1.154406705
68	1.147220882
69	1.142202412
70	1.13599177
71	1.127324952
72	1.120835459
73	1.114030808
74	1.106802948
75	1.100856239
76	1.09283509
77	1.088466116
78	1.083343039
79	1.077796048
80	1.069952108
81	1.063286791
82	1.057115442
83	1.053601858
84	1.047547977
85	1.04177711
86	1.036957055
87	1.031477419
88	1.027106495
89	1.020206858
90	1.016342783
91	1.011695714
92	1.006888725
93	1.001438816
94	0.9948121602
95	0.9877912081
96	0.9816495259
97	0.9758659298
98	0.9695705274
99	0.9636377094
100	0.959126537
101	0.9554014742
102	0.9515468946
103	0.9469662442
104	0.9425893424
105	0.9375357578
106	0.9337395419
107	0.9299929404
108	0.9263366368
109	0.9216830146
110	0.9182132704
111	0.9137778724
112	0.9094792966
113	0.905270157
114	0.9008193252
115	0.8961953461
116	0.8920439025
117	0.887873381
118	0.8833252172
119	0.8785373166
120	0.8746713065
121	0.8697880166
122	0.8664180604
123	0.8620188013
124	0.8580355928
125	0.8543182817
126	0.8507200901
127	0.8475286814
128	0.843416523
129	0.8400111332
130	0.83674346
131	0.8328740994
132	0.8294356087
133	0.8255198491
134	0.8214024804
135	0.8179614502
136	0.8141721332
137	0.8103549756
138	0.8071120313
139	0.8039590319
140	0.7999535202
141	0.7963911646
142	0.7933248286
143	0.7898290274
144	0.7861800282
145	0.7827940486
146	0.7796744863
147	0.7765460929
148	0.7731935431
149	0.7699586067
150	0.7672763985
151	0.7639607232
152	0.7605901943
153	0.7580958479
154	0.7543950673
155	0.7512762002
156	0.7481384024
157	0.7451582569
158	0.7412177742
159	0.7382926804
